"uriAudiencia","codigoAudiencia","observaciones","descripcion","materia","anio","trimestre"
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar6291","nr006ar6291","Informar sobre proyecto estatal de transmisión eléctrica Cardones – Polpaico que transita por la IV Región. ","Valparaíso, Región de Valparaíso","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar6311","nr006ar6311","Opinión de Educación 2020 sobre indicadores al Proyecto de Ley de Inclusión y Propuestas de Educación 2020 para el mejoramiento de escuelas públicas de Chile","Santiago, Región Metropolitana de Santiago","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar6501","nr006ar6501","hemos leído la ley de reciclaje atentamente y visto los videos de la comisión y creemos que como asociación de industriales del reciclaje podemos aportar con una visión aun no incorporada en las discusiones","Valparaíso, Región de Valparaíso","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar6631","nr006ar6631","Entregar la visión de nuestra asociación en cuanto a la Ley de reciclaje que se está trabajando el la comisión de medio ambiente y recursos naturales","Santiago, Región Metropolitana de Santiago","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar6641","nr006ar6641","Informar acerca del sector dedicado al tratamiento y disposición de residuos industriales y domiciliarios. Dar a conocer el quehacer de Hidronor en este sector como uno de los operadores principales y la importancia de contar con este tipo de servicios para la protección del medioambiente. También manifestar la importancia de mejorar la normativa sobre contaminación de suelos.","Santiago, Región Metropolitana de Santiago","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar6681","nr006ar6681","Los representantes de GNL Chile tienen interés en conversar con usted para informarlo sobre la actividad de la empresa, el mercado internacional de GNL, la operación del terminal GNL Quintero y el proceso de oferta de nueva capacidad de regasificación y suministro de GNL que se encuentra en curso. Lo anterior en el contexto de la Agenda de Energía que ha definido el gobierno donde el GNL ha adquirido especial relevancia.","Valparaíso, Región de Valparaíso","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar6701","nr006ar6701","Entrega de información de estado del suministro de agua potable en la región de Valparaíso.      ","Valparaíso, Región de Valparaíso","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar6741","nr006ar6741","Reforma Laboral","La Serena, Región de Coquimbo","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar6791","nr006ar6791","exponer ciertos aspectos fundamentales para la gestión de esta Casa de Estudios Superiores,  teniendo presente se someterá a votación.","Santiago, Región Metropolitana de Santiago","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar6841","nr006ar6841","LEY DE ENFERMEDADES DE ALTO COSTO","Valparaíso, Región de Valparaíso","Ninguna de las anteriores. - ",2015,1
