Año;Trimestre;codigoDonativo;descripcion;pasivo;codigoPasivo;organismo;IdOrPortal;cargo;fechaDonativo;ocasion;;;
2018;4;ab010305273;"Libro ""Informe anual Situación de los Derechos Humanos en chile""";Geoconda Navarrete Arratia;AB010172722;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente(a);11-12-2018;saludo protocolar Director Instituto nacional de Derechos Humanos de Los lagos;;;
2018;4;ab010300013;"Libro ""Descentralización 2.0 Construyendo la Gobernanza regional que Chile necesita: Un desafío país.";Geoconda Navarrete Arratia;AB010172722;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente(a);15-11-2018;Saludo Protocolar de Sr. Heinrich Von Baer, Presidente Fundación;;;
2018;4;ab010300143;Galvano;Geoconda Navarrete Arratia;AB010172722;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente(a);10-11-2018;agradecimiento por apoyo en Ceremonia de Cierre actividad Centro Rehabilita Coyhaique;;;
2018;4;ab016293783;entradas evento deportivo;Juan Manuel Masferrer Vidal;AB016173968;INTENDENCIA REGIÓN DEL LIBERTADOR BERNARDO O'HIGGINS;ab016;Intendente(a);10-10-2018;Encuentro Deportivo Selecciones Sub 20 Chile v/s Brasil;;;
2018;4;ab016294163;entradas evento deportivo;Juan Manuel Masferrer Vidal;AB016173968;INTENDENCIA REGIÓN DEL LIBERTADOR BERNARDO O'HIGGINS;ab016;Intendente(a);18-10-2018;Encuentro Deportivo Selecciones Deportes O'Higgins v/s Colo Colo;;;
2018;4;ab016296343;Invitaciones marquesina;Juan Manuel Masferrer Vidal;AB016173968;INTENDENCIA REGIÓN DEL LIBERTADOR BERNARDO O'HIGGINS;ab016;Intendente(a);30-10-2018;Encuentro Deportivo C.D. O'Higgins v/s Universidad de Concepción;;;
2018;4;ab016302043;Invitaciones marquesinas;Juan Manuel Masferrer Vidal;AB016173968;INTENDENCIA REGIÓN DEL LIBERTADOR BERNARDO O'HIGGINS;ab016;Intendente(a);28-11-2018;Encuentro Deportivo Audax Italiano v/s Club Deportivo O'Higgins;;;
2018;4;ab017293503;"BOTELLA DE VINO TINTO DE 750 CC ""CASILLERO DEL DIABLO COLECCIÓN PRIVADA""";Miguel Angel Quezada Torres;AB017172833;INTENDENCIA REGIÓN DE TARAPACÁ;ab017;Intendente;16-10-2018;CUMPLEAÑOS DEL SR. INTENDENTE DON MIGUEL ÁNGEL QUEZADA TORRES;;;
2018;4;ab017293513;CORBATA Y COLLERAS MARCA HUGO BOSS;Miguel Angel Quezada Torres;AB017172833;INTENDENCIA REGIÓN DE TARAPACÁ;ab017;Intendente;16-10-2018;CUMPLEAÑOS SR. INTENDENTE REGIONAL DE TARAPACÁ DON MIGUEL ÁNGEL QUEZADA TORRES;;;
2018;4;ab017308443;2 BOTELLAS DE VINO TINTO DE VIÑA ARESTI Y 1 PAN DE PASCUA GOURMET;Miguel Angel Quezada Torres;AB017172833;INTENDENCIA REGIÓN DE TARAPACÁ;ab017;Intendente;19-12-2018;REGALO DE NAVIDAD 2018;;;
2018;4;ab017297753;PLATO DE PORCELANA DECORATIVO;Miguel Angel Quezada Torres;AB017172833;INTENDENCIA REGIÓN DE TARAPACÁ;ab017;Intendente;31-10-2018;VISITA ALA REGIÓN DE TARAPACÁ DEL EMBAJADOR DE LA REPÚBLICA POPULAR DE CHINA EN CHILE.;;;
2018;4;ab017301093;RELOJ PULSERA COLOR CAFÉ, 2 PARES DE CALCETAS DE CABALLERO;Miguel Angel Quezada Torres;AB017172833;INTENDENCIA REGIÓN DE TARAPACÁ;ab017;Intendente;14-11-2018;REUNIÓN CON PASTOR DE GENDARMERÍA DE TARAPACÁ;;;
2018;4;ab017301533;CAJA DE MADERA CON AJOS Y DAMASCOS Y DOS FRASCOS DE CONSERVAS ORGANICAS;Miguel Angel Quezada Torres;AB017172833;INTENDENCIA REGIÓN DE TARAPACÁ;ab017;Intendente;26-11-2018;LANZAMIENTO DEL PROGRAMA DE TALLERES DE INCLUSIÓN SOCIAL PARA PERSONAS MAYORES QUE FINANCIA GORE TARAPACÁ Y EJECUTA YMCA;;;
2018;4;ab019291403;llavero;Jorge Ulloa Aguillon;AB019175825;INTENDENCIA REGIÓN DEL BÍO BÍO;ab019;Intendente(a);05-10-2018;regalo de cumpleaños Intendente;;;
2018;4;ab019291413;un carro bomba mediano;Jorge Ulloa Aguillon;AB019175825;INTENDENCIA REGIÓN DEL BÍO BÍO;ab019;Intendente(a);05-10-2018;regalo de cumpleaños Intendente;;;
2018;4;ab019293603;galvano;Jorge Ulloa Aguillon;AB019175825;INTENDENCIA REGIÓN DEL BÍO BÍO;ab019;Intendente(a);16-10-2018;reconocimiento secretaria Ministerial de Educacion;;;
2018;4;ab019304033;galvano;Jorge Ulloa Aguillon;AB019175825;INTENDENCIA REGIÓN DEL BÍO BÍO;ab019;Intendente(a);03-12-2018;firma de convenio coronel;;;
2018;4;ab019304453;un telar enmarcado;Jorge Ulloa Aguillon;AB019175825;INTENDENCIA REGIÓN DEL BÍO BÍO;ab019;Intendente(a);04-12-2018;inauguración de puente mulchen y negrete;;;
2018;4;ab019306133;caja de vino y agenda;Jorge Ulloa Aguillon;AB019175825;INTENDENCIA REGIÓN DEL BÍO BÍO;ab019;Intendente(a);14-12-2018;regalo navidad;;;
