Camino;Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Persona efectúa aporte;Tipo de Aporte;Valorización en Pesos
Pagina Registro de Aportes a Campañas Electorales/2017/Abr - Jun;PP010;Partido Ecologista Verde (PEV);2017;Abr - Jun;Partido Ecologista Verde;Aporte en Dinero;250000
Pagina Registro de Aportes a Campañas Electorales/2017/Abr - Jun;PP010;Partido Ecologista Verde (PEV);2017;Abr - Jun;Partido Ecologista Verde;Aporte en especies;2456488
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección CORES;100000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección CORES;100000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección CORES;100000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección CORES;100000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección CORES;100000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección CORES;100000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección CORES;100000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección CORES;100000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección CORES;100000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección CORES;100000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección CORES;100000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección CORES;100000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección CORES;100000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección CORES;200000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección CORES;200000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección CORES;200000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección CORES;200000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección CORES;200000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección CORES;300000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección CORES;300000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección CORES;300000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección CORES;300000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección CORES;300000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección CORES;300000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección CORES;500000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección Diputados;1000000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección Diputados;1000000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección Diputados;1000000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección Diputados;1000000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección Diputados;1000000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección Diputados;10000000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección Diputados;500000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección Diputados;500000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección Diputados;500000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección Diputados;500000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección Diputados;500000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección Diputados;500000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección Diputados;500000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección Diputados;500000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección Diputados;500000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección Diputados;500000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección Diputados;500000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección Diputados;500000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección Diputados;500000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección Diputados;500000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección Diputados;500000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección Diputados;500000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección Diputados;600000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Candidato-Elección Diputados;700000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en dinero a Partido P.-Elección Diputados;20000000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en especies (Boletines)-Elección CORES;7495058
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en Especies (Boletines)-Elección Diputados;5200300
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en Especies (Boletines)-Elección Diputados;598600
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en Especies (Boletines) -Elección Diputados;948400
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en especies (Calendarios)-Elección CORES;291550
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en especies (Calendarios)-Elección CORES;291550
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en especies (Calendarios)-Elección CORES;291550
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en especies (Calendarios)-Elección CORES;404600
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en especies (Calendarios)-Elección CORES;4078130
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en Especies (Calendarios)-Elección Diputados;1478575
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en Especies (Calendarios)-Elección Diputados;2659650
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en Especies (Calendarios)-Elección Diputados;354620
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en Especies (Calendarios)-Elección Diputados;404600
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en especies (Palos)-Elección CORES;600653
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en Especies (palos) -Elección Diputados;400435
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en Especies (Palos)-Elección Diputados;400435
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en especies(Pendones)-Elección CORES;1881390
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en especies(Pendones)-Elección CORES;1976114
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en especies(Pendones)-Elección CORES;2923116
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en especies(Pendones)-Elección CORES;381990
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en Especies (Pendones) -Elección Diputados;3954965
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en especies (Poleras)-Elección CORES;888752
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en Especies (Poleras)-Elección Diputados;578340
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en especies (Volantes)-Elección CORES;3094000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en especies ( Volantes)-Elección CORES;3512800
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en Especies(Volantes) -Elección Diputados;2320500
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en Especies (Volantes) -Elección Diputados;2927400
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en propaganda- Elección Presidencial;8808975
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en propaganda (Facebook)-Elección CORES;1309965
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en propaganda(facebook)- Elección Diputados;319681
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en propaganda(facebook)- Elección Diputados;538313
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en propaganda (radial)-Elección CORES;2021039
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en propaganda (radial)-Elección CORES;380134
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en propaganda (radial)-Elección CORES;476000
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en propaganda (radial)-Elección CORES;71543
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en propaganda(radial)- Elección Diputados;10482680
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en propaganda(radial)- Elección Diputados;300059
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en propaganda(radial)- Elección Diputados;3058776
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en propaganda(radial)- Elección Diputados;3355800
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en propaganda(radial)- Elección Diputados;924140
Pagina Registro de Aportes a Campañas Electorales/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Partido Ecologista Verde;Aporte en propaganda(Twiter)- Elección Diputados;64000
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2016/Oct - Dic;PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;no aplica;Aportes en Especies;0
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2016;PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;no aplica;Aportes en Especies;0
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2016/Oct - Dic;PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;no aplica;Aportes en Recintos;0
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2016;PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;no aplica;Aportes en Recintos;0
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2016;PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;no aplica;Aportes en Traslados;0
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2016/Oct - Dic;PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;no aplica;Aportes en Traslados;0
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2016;PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;no aplica;Otros Aportes;0
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2016/Oct - Dic;PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;no aplica;Otros Aportes;0
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2016/Oct - Dic;PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;Servel;Aportes en Dinero;278135883
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2016;PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;Servel;Aportes en Dinero;278135883
