Camino;Código del organismo;Nombre del organismo;Año informado;Trimestre informado;Tipo Elección;Año Elección;Territorio electoral;Nombre completo del candidato;Declaración de Intereses y Patrimonio
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Nancagua;Luis Farias;http://www.miras.cl/miras/images/concejales/Luis Farias.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Nancagua;Luis Peñaloza;http://www.miras.cl/miras/images/concejales/Luis Peñaloza.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Nancagua;Nelson Serrano;http://www.miras.cl/miras/images/concejales/Nelson Serrano.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Nancagua;Paula Franz;http://www.miras.cl/miras/images/concejales/Paula Franz.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Palmilla;Juan Osses;http://www.miras.cl/miras/images/concejales/Juan Osses.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Palmilla;Marcelino Silva;http://www.miras.cl/miras/images/concejales/Marcelino Silva.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Paredones;Abel Quiroz;http://www.miras.cl/miras/images/concejales/Abel Quiroz.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Paredones;Carmen Solar;http://www.miras.cl/miras/images/concejales/Carmen Solar.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Paredones;Luis Carrizo;http://www.miras.cl/miras/images/concejales/Luis Carrizo.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Paredones;Maria Godoy;http://www.miras.cl/miras/images/concejales/Maria Godoy.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Paredones;Marlen Mejias;http://www.miras.cl/miras/images/concejales/Marlen Mejias.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Paredones;Rene Araya;http://www.miras.cl/miras/images/concejales/Rene Araya.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Peralillo;Jose Arevalo;http://www.miras.cl/miras/images/concejales/Jose Arevalo.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Peralillo;Jose Iturriaga;http://www.miras.cl/miras/images/concejales/Jose Iturriaga.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Peralillo;Luis Donoso;http://www.miras.cl/miras/images/concejales/Luis Donoso.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Peralillo;Luis Soto;http://www.miras.cl/miras/images/concejales/Luis Soto.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Peralillo;María Bustamante;http://www.miras.cl/miras/images/concejales/María Bustamante.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Peralillo;Pablo Quezada;http://www.miras.cl/miras/images/concejales/Pablo Quezada.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Peumo;Jorge Alcantara;http://www.miras.cl/miras/images/concejales/Jorge Alcantara.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Peumo;Jose Barra;http://www.miras.cl/miras/images/concejales/Jose Barra.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Peumo;María Arce;http://www.miras.cl/miras/images/concejales/María Arce.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Peumo;Rigoberto Perez;http://www.miras.cl/miras/images/concejales/Rigoberto Perez.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Peumo;Susy Arenas;http://www.miras.cl/miras/images/concejales/Susy Arenas.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Peumo;Viviana Lagos;http://www.miras.cl/miras/images/concejales/Viviana Lagos.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Pichidegua;Cesar Leyton;http://www.miras.cl/miras/images/concejales/Cesar Leyton.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Pichidegua;Eduardo Flores;http://www.miras.cl/miras/images/concejales/Eduardo Flores.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Pichidegua;Francisco Reyes;http://www.miras.cl/miras/images/concejales/Francisco Reyes.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Pichidegua;Victor Pizarro;http://www.miras.cl/miras/images/concejales/Victor Pizarro.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Pichilemu;Hernan Garrido;http://www.miras.cl/miras/images/concejales/Hernan Garrido.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Pichilemu;María Miranda;http://www.miras.cl/miras/images/concejales/María Miranda.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Pichilemu;Miguel Angel Gonzalez;http://www.miras.cl/miras/images/concejales/Miguel Angel Gonzalez.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Pichilemu;Patricio Morales;http://www.miras.cl/miras/images/concejales/Patricio Morales.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Placilla;Christian Contreras;http://www.miras.cl/miras/images/concejales/Christian Contreras.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Placilla;Luis Galaz;http://www.miras.cl/miras/images/concejales/Luis Galaz.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Placilla;María Correa;http://www.miras.cl/miras/images/concejales/María Correa.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Placilla;Rodrigo Sandoval;http://www.miras.cl/miras/images/concejales/Rodrigo Sandoval.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Rancagua;Paola Zapata;http://www.miras.cl/miras/images/concejales/Paola Zapata.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;San Fernando;Carlos Guzman;http://www.miras.cl/miras/images/concejales/Carlos Guzman.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;San Fernando;Elizardo Pino;http://www.miras.cl/miras/images/concejales/Elizardo Pino.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;San Fernando;Jorge Cruz;http://www.miras.cl/miras/images/concejales/Jorge Cruz.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;San Fernando;Luis Guerrero;http://www.miras.cl/miras/images/concejales/Luis Guerrero.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;San Fernando;Marco Hernandez;http://www.miras.cl/miras/images/concejales/Marco Hernandez.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;San Fernando;Susana Mejías;http://www.miras.cl/miras/images/concejales/Susana Mejías.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Santa Cruz;Aliro Moran;http://www.miras.cl/miras/images/concejales/Aliro Moran.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Santa Cruz;Cristian Catalan;http://www.miras.cl/miras/images/concejales/Cristian Catalan.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Santa Cruz;Karla Perez;http://www.miras.cl/miras/images/concejales/Karla Perez.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Santa Cruz;Luis Piña;http://www.miras.cl/miras/images/concejales/Luis Piña.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Santa Cruz;Maciel Cornejo;http://www.miras.cl/miras/images/concejales/Maciel Cornejo.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;Santa Cruz;Marcela Cornejo;http://www.miras.cl/miras/images/concejales/Marcela Cornejo.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;San Vicente;Alberto Pavez;http://www.miras.cl/miras/images/concejales/Alberto Pavez.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;San Vicente;Jose Piña;http://www.miras.cl/miras/images/concejales/Jose Piña.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;San Vicente;Luis Lopez;http://www.miras.cl/miras/images/concejales/Luis Lopez.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;San Vicente;Luis Sasso;http://www.miras.cl/miras/images/concejales/Luis Sasso.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Concejal;2016;San Vicente;Magaly Plaza;http://www.miras.cl/miras/images/concejales/Magaly Plaza.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/Elección de Alcalde 2016;PP007;Partido Comunista de Chile (PCCH);2020;Jul - Sep;Alcaldicia;2016;CURANILAHUE;LEONIDAS PEÑA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0836003A015095.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/Elección de Alcalde 2016;PP007;Partido Comunista de Chile (PCCH);2020;Jul - Sep;Alcaldicia;2016;DIEGO DE ALMAGRO;ISAIAS ZAVALA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0307002A000632.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/Elección de Alcalde 2016;PP007;Partido Comunista de Chile (PCCH);2020;Jul - Sep;Alcaldicia;2016;LA FLORIDA;DAVID PERALTA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/1321024A015120.pdf
Pagina Declaraciones de intereses y patrimonio de candidatos/Elección de Alcalde 2016;PP007;Partido Comunista de Chile (PCCH);2020;Jul - Sep;Alcaldicia;2016;LA LIGUA;RODRIGO SANCHEZ;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0513001A000726.pdf
