Camino;Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Item;Unidad Monetaria;Monto
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Ene - Mar;Donaciones;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Ene - Mar;Frutos y productos de los Bienes Patrimoniales;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Ene - Mar;Otras Transferencias privadas;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Ene - Mar;Otras Transferencias públicas;Pesos;315082071
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2018;Jul - Sep;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2018;Jul - Sep;Asignaciones testamentarias;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2018;Jul - Sep;Cotizaciones;Pesos;41754769
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2018;Jul - Sep;Donaciones;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2018;Jul - Sep;Frutos y productos de los Bienes Patrimoniales;Pesos;38058573
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2018;Jul - Sep;Otras Transferencias privadas;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2018;Jul - Sep;Otras Transferencias públicas;Pesos;23719205
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018;PP007;Partido Comunista de Chile (PCCH);2018;Oct - Dic;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;169454213
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Octubre-Diciembre;PP007;Partido Comunista de Chile (PCCH);2018;Oct - Dic;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;169454213
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018;PP007;Partido Comunista de Chile (PCCH);2018;Oct - Dic;Asignaciones testamentarias;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Octubre-Diciembre;PP007;Partido Comunista de Chile (PCCH);2018;Oct - Dic;Asignaciones testamentarias;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018;PP007;Partido Comunista de Chile (PCCH);2018;Oct - Dic;Cotizaciones;Pesos;17456004
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Octubre-Diciembre;PP007;Partido Comunista de Chile (PCCH);2018;Oct - Dic;Cotizaciones;Pesos;17456004
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Octubre-Diciembre;PP007;Partido Comunista de Chile (PCCH);2018;Oct - Dic;Donaciones;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018;PP007;Partido Comunista de Chile (PCCH);2018;Oct - Dic;Donaciones;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Octubre-Diciembre;PP007;Partido Comunista de Chile (PCCH);2018;Oct - Dic;Frutos y productos de los Bienes Patrimoniales;Pesos;29229413
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018;PP007;Partido Comunista de Chile (PCCH);2018;Oct - Dic;Frutos y productos de los Bienes Patrimoniales;Pesos;32286828
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018;PP007;Partido Comunista de Chile (PCCH);2018;Oct - Dic;Otras Transferencias privadas;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Octubre-Diciembre;PP007;Partido Comunista de Chile (PCCH);2018;Oct - Dic;Otras Transferencias privadas;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018;PP007;Partido Comunista de Chile (PCCH);2018;Oct - Dic;Otras Transferencias públicas;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Octubre-Diciembre;PP007;Partido Comunista de Chile (PCCH);2018;Oct - Dic;Otras Transferencias públicas;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;85435411
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;Asignaciones testamentarias;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;Cotizaciones;Pesos;22868450
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;Donaciones;Pesos;1280100
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;Frutos y productos de los Bienes Patrimoniales;Pesos;40380575
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;Otras Transferencias privadas;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;Otras Transferencias públicas;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros Año 2020/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;85524129
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;Asignaciones testamentarias;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros Año 2020/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;Asignaciones testamentarias;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;Cotizaciones;Pesos;26298300
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;Donaciones;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros Año 2020/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;Donaciones;Pesos;221800
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;Frutos y productos de los Bienes Patrimoniales;Pesos;50007047
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros Año 2020/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;Frutos y productos de los Bienes Patrimoniales;Pesos;73281022
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros Año 2020/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;Otras Transferencias privadas;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;Otras Transferencias privadas;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros Año 2020/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;Otras Transferencias públicas;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;Otras Transferencias públicas;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2019;Jul - Sep;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;85886245
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2019;Jul - Sep;Asignaciones testamentarias;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2019;Jul - Sep;Cotizaciones;Pesos;59451445
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2019;Jul - Sep;Donaciones;Pesos;2232200
