Camino;Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Tipo de Cotización;Unidad Monetaria;Monto
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Extraordinarias;Pesos;45574240
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Ordinarias;Pesos;1640200
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Extraordinarias;Pesos;24050690
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Ordinarias;Pesos;7027500
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2018/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Ene - Mar;Extraordinarias;Pesos;28725434
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2018/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Ene - Mar;Ordinarias;Pesos;2818500
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2018/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2018;Jul - Sep;Extraordinarias;Pesos;32893350
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2018/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2018;Jul - Sep;Ordinarias;Pesos;8861419
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2018/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2018;Oct - Dic;Extraordinarias;Pesos;14246104
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2018/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2018;Oct - Dic;Ordinarias;Pesos;3209900
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2019/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;Extraordinarias;Pesos;19447130
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2019/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;Ordinarias;Pesos;3421320
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;Extraordinarias;Pesos;21164500
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;Ordinarias;Pesos;5133800
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2019/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2019;Jul - Sep;Extraordinarias;Pesos;55919545
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2019/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2019;Jul - Sep;Ordinarias;Pesos;3531900
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2019/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2019;Oct - Dic;Extraordinarias;Pesos;17431650
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2019/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2019;Oct - Dic;Ordinarias;Pesos;2941900
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados Año 2020/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2020;Abril - Junio;Extraordinarias;Pesos;12350000
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados Año 2020/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2020;Abril - Junio;Ordinarias;Pesos;1004400
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados Año 2020/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2020;Ene - Mar;Extraordinarias;Pesos;25887770
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados Año 2020/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2020;Ene - Mar;Ordinarias;Pesos;1970400
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados Año 2020/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2020;Julio - Septiembre;Extraordinarias;Pesos;15333854
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados Año 2020/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2020;Julio - Septiembre;Ordinarias;Pesos;11989207
Pagina Cotizaciones de sus afiliados/Trimestre Abril - Junio 2017;PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Extraordinaria;Pesos;330648
Pagina Cotizaciones de sus afiliados/Trimestre Julio - Septiembre 2017;PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Extraordinaria;Pesos;330648
Pagina Cotizaciones de sus afiliados/Trimestre Octubre - Diciembre 2017;PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Extraordinaria;Pesos;330648
Pagina Cotizaciones de sus afiliados/Trimestre Octubre - Diciembre 2017;PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Ordinaria;Pesos;7182000
Pagina Cotizaciones de sus afiliados/Trimestre Abril - Junio 2017;PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Ordinaria;Pesos;7182000
Pagina Cotizaciones de sus afiliados/Trimestre Julio - Septiembre 2017;PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Ordinaria;Pesos;7182000
Pagina Cotizaciones de sus afiliados/Trimestre Abril - Junio 2018;PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;Extraordinaria;Pesos;889033
Pagina Cotizaciones de sus afiliados/Trimestre Abril - Junio 2018;PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;Ordinaria;Pesos;760000
Pagina Cotizaciones de sus afiliados/Trimestre Enero - Marzo 2018;PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;Extraordinaria;Pesos;5871216
Pagina Cotizaciones de sus afiliados/Trimestre Enero - Marzo 2018;PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;Ordinaria;Pesos;4165000
Pagina Cotizaciones de sus afiliados/Trimestre Julio - Septiembre 2018;PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;Extraordinaria;Pesos;237000
Pagina Cotizaciones de sus afiliados/Trimestre Julio - Septiembre 2018;PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;Ordinaria;Pesos;730000
Pagina Cotizaciones de sus afiliados/Trimestre Octubre - Diciembre 2018;PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Trimestre Octubre - Diciembre 2018;PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;Ordinaria;Pesos;740000
Pagina Cotizaciones de sus afiliados/Trimestre Abril - Junio 2019;PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Trimestre Abril - Junio 2019;PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;Ordinaria;Pesos;1103700
Pagina Cotizaciones de sus afiliados/Trimestre Enero - Marzo 2019;PP009;Partido Demócrata Cristiano (PDC);2019;Ene - Mar;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Trimestre Enero - Marzo 2019;PP009;Partido Demócrata Cristiano (PDC);2019;Ene - Mar;Ordinaria;Pesos;800000
Pagina Cotizaciones de sus afiliados/Trimestre Julio - Septiembre 2019;PP009;Partido Demócrata Cristiano (PDC);2019;Jul - Sep;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Trimestre Julio - Septiembre 2019;PP009;Partido Demócrata Cristiano (PDC);2019;Jul - Sep;Ordinaria;Pesos;760000
Pagina Cotizaciones de sus afiliados/Trimestre Octubre - Diciembre 2019;PP009;Partido Demócrata Cristiano (PDC);2019;Oct - Dic;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Trimestre Octubre - Diciembre 2019;PP009;Partido Demócrata Cristiano (PDC);2019;Oct - Dic;Ordinaria;Pesos;760000
Pagina Cotizaciones de sus afiliados/Trimestre Abril - Junio 2020;PP009;Partido Demócrata Cristiano (PDC);2020;Abr - Jun;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Trimestre Abril - Junio 2020;PP009;Partido Demócrata Cristiano (PDC);2020;Abr - Jun;Ordinaria;Pesos;940000
Pagina Cotizaciones de sus afiliados/Trimestre Enero - Marzo 2020;PP009;Partido Demócrata Cristiano (PDC);2020;Ene - Mar;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Trimestre Enero - Marzo 2020;PP009;Partido Demócrata Cristiano (PDC);2020;Ene - Mar;Ordinaria;Pesos;780000
Pagina Cotizaciones de sus afiliados/Trimestre Julio - Septiembre 2020;PP009;Partido Demócrata Cristiano (PDC);2020;Jul - Sep;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Trimestre Julio - Septiembre 2020;PP009;Partido Demócrata Cristiano (PDC);2020;Jul - Sep;Ordinaria;Pesos;1374818
Cotizaciones de sus afiliados/2016/Oct - Dic;PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Extraordinaria;Pesos;0
Cotizaciones de sus afiliados/2016/Oct - Dic;PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Ordinaria;Pesos;0
Cotizaciones de sus afiliados/2017/Abr - Jun;PP010;Partido Ecologista Verde (PEV);2017;Abr - Jun;Extraordinarias;Pesos;0
Cotizaciones de sus afiliados/2017/Abr - Jun;PP010;Partido Ecologista Verde (PEV);2017;Abr - Jun;Ordinarias;Pesos;0
Cotizaciones de sus afiliados/2017/Ene - Mar;PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Extraordinaria;Pesos;0
Cotizaciones de sus afiliados/2017/Ene - Mar;PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Ordinaria;Pesos;0
Cotizaciones de sus afiliados/2017/Jul-Sep;PP010;Partido Ecologista Verde (PEV);2017;Jul-Sep;Extraordinarias;Pesos;0
Cotizaciones de sus afiliados/2017/Jul-Sep;PP010;Partido Ecologista Verde (PEV);2017;Jul-Sep;Ordinarias;Pesos;0
Cotizaciones de sus afiliados/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Extraordinarias;Pesos;280010
Cotizaciones de sus afiliados/2017/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Ordinarias;Pesos;0
Cotizaciones de sus afiliados/2018/Abr-Jun;PP010;Partido Ecologista Verde (PEV);2018;Abr - Jun;Extraordinarias;Pesos;0
Cotizaciones de sus afiliados/2018/Abr-Jun;PP010;Partido Ecologista Verde (PEV);2018;Abr - Jun;Ordinarias;Pesos;0
Cotizaciones de sus afiliados/2018/Ene-Mar;PP010;Partido Ecologista Verde (PEV);2018;Ene - Mar;Extraordinarias;Pesos;0
Cotizaciones de sus afiliados/2018/Ene-Mar;PP010;Partido Ecologista Verde (PEV);2018;Ene - Mar;Ordinarias;Pesos;0
Cotizaciones de sus afiliados/2018/Jul-Sep;PP010;Partido Ecologista Verde (PEV);2018;Jul - Sep;Extraordinarias;Pesos;0
Cotizaciones de sus afiliados/2018/Jul-Sep;PP010;Partido Ecologista Verde (PEV);2018;Jul - Sep;Ordinarias;Pesos;0
Cotizaciones de sus afiliados/2018/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2018;Oct - Dic;Extraordinaria;Pesos;310600
Cotizaciones de sus afiliados/2018/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2018;Oct - Dic;Ordinaria;Pesos;0
Cotizaciones de sus afiliados/2019/Abr-Jun;PP010;Partido Ecologista Verde (PEV);2019;Abr - Jun;Extraordinaria;Pesos;0
Cotizaciones de sus afiliados/2019/Abr-Jun;PP010;Partido Ecologista Verde (PEV);2019;Abr - Jun;Ordinaria;Pesos;0
Cotizaciones de sus afiliados/2019/Ene-Mar;PP010;Partido Ecologista Verde (PEV);2019;Ene - Mar;Extraordinaria;Pesos;0
Cotizaciones de sus afiliados/2019/Ene-Mar;PP010;Partido Ecologista Verde (PEV);2019;Ene - Mar;Ordinaria;Pesos;0
Cotizaciones de sus afiliados/2019/Jul-Sep;PP010;Partido Ecologista Verde (PEV);2019;Jul - Sep;Extraordinaria;Pesos;0
Cotizaciones de sus afiliados/2019/Jul-Sep;PP010;Partido Ecologista Verde (PEV);2019;Jul - Sep;Ordinaria;Pesos;0
Cotizaciones de sus afiliados/2019/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2019;Oct - Dic;Extraordinaria;Pesos;0
Cotizaciones de sus afiliados/2019/Oct-Dic;PP010;Partido Ecologista Verde (PEV);2019;Oct - Dic;Ordinaria;Pesos;0
Cotizaciones de sus afiliados/2020/Abril-Junio;PP010;Partido Ecologista Verde (PEV);2020;Abr - Jun;Extraordinaria;Pesos;0
Cotizaciones de sus afiliados/2020/Abril-Junio;PP010;Partido Ecologista Verde (PEV);2020;Abr - Jun;Ordinaria;Pesos;0
Cotizaciones de sus afiliados/2020/Ene-Mar;PP010;Partido Ecologista Verde (PEV);2020;Ene - Mar;Extraordinaria;Pesos;100000
Cotizaciones de sus afiliados/2020/Ene-Mar;PP010;Partido Ecologista Verde (PEV);2020;Ene - Mar;Ordinaria;Pesos;0
Cotizaciones de sus afiliados/2020/Julio-Septiembre;PP010;Partido Ecologista Verde (PEV);2020;Jul - Sep;Extraordinaria;Pesos;0
Cotizaciones de sus afiliados/2020/Julio-Septiembre;PP010;Partido Ecologista Verde (PEV);2020;Jul - Sep;Ordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2016/Oct - Dic;PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;Extraordinaria;Pesos;13695898
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2016/Oct - Dic;PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;Ordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2017/Abr - Jun;PP011;Partido Evolución Política (Evópoli);2017;Abr - Jun;Extraordinaria;Pesos;186928540
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2017/Abr - Jun;PP011;Partido Evolución Política (Evópoli);2017;Abr - Jun;Ordinaria;Pesos;32987392
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2017/Ene - Mar;PP011;Partido Evolución Política (Evópoli);2017;Ene - Mar;Extraordinaria;Pesos;64262497
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2017/Ene - Mar;PP011;Partido Evolución Política (Evópoli);2017;Ene - Mar;Ordinaria;Pesos;8424977
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2017/Jul - Sep;PP011;Partido Evolución Política (Evópoli);2017;Jul - Sep;Extraordinaria;Pesos;66705206
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2017/Jul - Sep;PP011;Partido Evolución Política (Evópoli);2017;Jul - Sep;Ordinaria;Pesos;28587945
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2017/Oct - Dic;PP011;Partido Evolución Política (Evópoli);2017;Oct - Dic;Extraordinaria;Pesos;11611564
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2017/Oct - Dic;PP011;Partido Evolución Política (Evópoli);2017;Oct - Dic;Ordinaria;Pesos;19452474
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2018/Abr - Jun;PP011;Partido Evolución Política (Evópoli);2018;Abr - Jun;Extraordinaria;Pesos;13641570
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2018/Abr - Jun;PP011;Partido Evolución Política (Evópoli);2018;Abr - Jun;Ordinaria;Pesos;31830330
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2018/Ene - Mar;PP011;Partido Evolución Política (Evópoli);2018;Ene - Mar;Extraordinaria;Pesos;8988858
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2018/Ene - Mar;PP011;Partido Evolución Política (Evópoli);2018;Ene - Mar;Ordinaria;Pesos;20973999
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2018/Jul - Sep;PP011;Partido Evolución Política (Evópoli);2018;Jul - Sep;Extraordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2018/Jul - Sep;PP011;Partido Evolución Política (Evópoli);2018;Jul - Sep;Ordinarias;Pesos;21445434
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2018/Oct - Dic;PP011;Partido Evolución Política (Evópoli);2018;Oct - Dic;Extraordinarias;Pesos;11924008
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2018/Oct - Dic;PP011;Partido Evolución Política (Evópoli);2018;Oct - Dic;Ordinarias;Pesos;33938591
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2019/Abril - Jun;PP011;Partido Evolución Política (Evópoli);2019;Abr -Jun;Extraordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2019/Oct - Dic;PP011;Partido Evolución Política (Evópoli);2019;Abr -Jun;Extraordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2019/Oct - Dic;PP011;Partido Evolución Política (Evópoli);2019;Abr -Jun;Ordinarias;Pesos;141055375
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2019/Abril - Jun;PP011;Partido Evolución Política (Evópoli);2019;Abr -Jun;Ordinarias;Pesos;37633744
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2019/Ene - Mar;PP011;Partido Evolución Política (Evópoli);2019;Ene - Mar;Extraordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2019/Ene - Mar;PP011;Partido Evolución Política (Evópoli);2019;Ene - Mar;Ordinarias;Pesos;39001896
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2019/Jul - Sept;PP011;Partido Evolución Política (Evópoli);2019;Jul - Sept;Extraordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2019/Jul - Sept;PP011;Partido Evolución Política (Evópoli);2019;Jul - Sept;Ordinarias;Pesos;17640685
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2020/Abril - Junio;PP011;Partido Evolución Política (Evópoli);2020;Abril -Junio;Extraordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2020/Abril - Junio;PP011;Partido Evolución Política (Evópoli);2020;Abril -Junio;Ordinarias;Pesos;53888125
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2020/Enero - Marzo;PP011;Partido Evolución Política (Evópoli);2020;Ene -Mar;Extraordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2020/Enero - Marzo;PP011;Partido Evolución Política (Evópoli);2020;Ene -Mar;Ordinarias;Pesos;34770707
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2020/Julio - Septiembre;PP011;Partido Evolución Política (Evópoli);2020;Jul -Sep;Extraordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de sus afiliados 2020/Julio - Septiembre;PP011;Partido Evolución Política (Evópoli);2020;Jul -Sep;Ordinarias;Pesos;41370470
Cotizaciones de sus afiliados/2016/Octubre- Diciembre;PP014;Partido Humanista (PH);2016;Oct - Dic;Extraordinaria;Pesos;0
Cotizaciones de sus afiliados/2016/Octubre- Diciembre;PP014;Partido Humanista (PH);2016;Oct - Dic;Ordinaria;Pesos;0
Cotizaciones de sus afiliados/2017/Trimestre Abril - Junio;PP014;Partido Humanista (PH);2017;Abr - Jun;Extraordinaria;Pesos;0
Cotizaciones de sus afiliados/2017/Trimestre Abril - Junio;PP014;Partido Humanista (PH);2017;Abr - Jun;Ordinaria;Pesos;0
Cotizaciones de sus afiliados/2017/Trimestre Enero - Marzo;PP014;Partido Humanista (PH);2017;Ene - Mar;Extraordinaria;Pesos;12950000
Cotizaciones de sus afiliados/2017/Trimestre Enero - Marzo;PP014;Partido Humanista (PH);2017;Ene - Mar;Ordinaria;Pesos;0
Cotizaciones de sus afiliados/2017/Trimestre Julio Septiembre;PP014;Partido Humanista (PH);2017;Jul - Sep;Extraordinaria;Pesos;540000
Cotizaciones de sus afiliados/2017/Trimestre Julio Septiembre;PP014;Partido Humanista (PH);2017;Jul - Sep;Ordinaria;Pesos;0
Cotizaciones de sus afiliados/2017/Trimestre Octubre - Diciembre;PP014;Partido Humanista (PH);2017;Oct - Dic;Extraordinaria;Pesos;270000
Cotizaciones de sus afiliados/2017/Trimestre Octubre - Diciembre;PP014;Partido Humanista (PH);2017;Oct - Dic;Ordinaria;Pesos;4650000
Cotizaciones de sus afiliados/2018/Trimestre Abril - Junio;PP014;Partido Humanista (PH);2018;Abr - Jun;Extraordinaria;Pesos;2410027
Cotizaciones de sus afiliados/2018/Trimestre Abril - Junio;PP014;Partido Humanista (PH);2018;Abr - Jun;Ordinaria;Pesos;0
Cotizaciones de sus afiliados/2018/Trimestre Enero - Marzo;PP014;Partido Humanista (PH);2018;Ene - Mar;Extraordinaria;Pesos;1215000
Cotizaciones de sus afiliados/2018/Trimestre Enero - Marzo;PP014;Partido Humanista (PH);2018;Ene - Mar;Ordinaria;Pesos;15000
Cotizaciones de sus afiliados/2018/trimestre Julio - Septiembre;PP014;Partido Humanista (PH);2018;Jul-Sep;Extraordinaria;Pesos;2745250
Cotizaciones de sus afiliados/2018/trimestre Julio - Septiembre;PP014;Partido Humanista (PH);2018;Jul-Sep;Ordinaria;Pesos;1732500
Cotizaciones de sus afiliados/2018/Trimestre Octubre - Diciembre;PP014;Partido Humanista (PH);2018;Oct - Dic;Extraordinaria;Pesos;1423835
Cotizaciones de sus afiliados/2018/Trimestre Octubre - Diciembre;PP014;Partido Humanista (PH);2018;Oct - Dic;Ordinaria;Pesos;4364050
Cotizaciones de sus afiliados/2019/Trimestre Abril - Junio;PP014;Partido Humanista (PH);2019;Abr - Jun;Extraordinaria;Pesos;4053890
Cotizaciones de sus afiliados/2019/Trimestre Abril - Junio;PP014;Partido Humanista (PH);2019;Abr - Jun;Ordinaria;Pesos;5009500
Cotizaciones de sus afiliados/2019/Trimestre Enero - Marzo;PP014;Partido Humanista (PH);2019;Ene-Mar;Extraordinaria;Pesos;812780
Cotizaciones de sus afiliados/2019/Trimestre Enero - Marzo;PP014;Partido Humanista (PH);2019;Ene-Mar;Ordinaria;Pesos;1312500
Cotizaciones de sus afiliados/2019/Trimestre Julio - Septiembre;PP014;Partido Humanista (PH);2019;Jul - Sep;Extraordinaria;Pesos;4532934
Cotizaciones de sus afiliados/2019/Trimestre Julio - Septiembre;PP014;Partido Humanista (PH);2019;Jul - Sep;Ordinaria;Pesos;6615000
Cotizaciones de sus afiliados/2019/Trimestre Octubre - Diciembre;PP014;Partido Humanista (PH);2019;Oct - Dic;Extraordinaria;Pesos;23599
Cotizaciones de sus afiliados/2019/Trimestre Octubre - Diciembre;PP014;Partido Humanista (PH);2019;Oct - Dic;Ordinaria;Pesos;1657500
Cotizaciones de sus afiliados/2020/Trimestre Abril - Junio;PP014;Partido Humanista (PH);2020;Abr - Jun;Extraordinaria;Pesos;23300
Cotizaciones de sus afiliados/2020/Trimestre Abril - Junio;PP014;Partido Humanista (PH);2020;Abr - Jun;Ordinaria;Pesos;2950000
Cotizaciones de sus afiliados/2020/Trimestre Enero - Marzo;PP014;Partido Humanista (PH);2020;Ene-Mar;Extraordinaria;Pesos;22900
Cotizaciones de sus afiliados/2020/Trimestre Enero - Marzo;PP014;Partido Humanista (PH);2020;Ene-Mar;Ordinaria;Pesos;802800
Cotizaciones de sus afiliados/2020/Trimestre Julio-Septiembre;PP014;Partido Humanista (PH);2020;Jul - Sep;Extraordinaria;Pesos;90500
Cotizaciones de sus afiliados/2020/Trimestre Julio-Septiembre;PP014;Partido Humanista (PH);2020;Jul - Sep;Ordinaria;Pesos;375000
Pagina Cotizaciones de sus afiliados/2016;PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Extraordinaria;Pesos;6505000
Pagina Cotizaciones de sus afiliados/2016;PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Ordinaria;Pesos;15903753
Pagina Cotizaciones de sus afiliados/2017/Abril - Junio;PP019;Partido Por la Democracia (PPD);2017;Abr-Jun;Extraordinaria;Pesos;2135000
