Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Región;Comuna;Avenida, Calle o Pasaje;Número del inmueble, depto u oficina
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;Región Metropolitana;SAN RAMÓN;Argentina;2085
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;Región Metropolitana;VITACURA;Missouri;7596
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;Región Metropolitana;ÑUÑOA;Dublé Almeyda;2462
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;Región Metropolitana;PEÑALOLÉN;Av. Grecia;7392
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;Región Metropolitana;LAS CONDES;Toconao;1028
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;Región Metropolitana;MACUL;Macul;3804
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;Región Metropolitana;LAMPA;Argentina;S/N
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;Región Metropolitana;TIL TIL;Juana Rosa Bustos;8
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;Región Metropolitana;HUECHURUBA;Recoleta;5899
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;Región Metropolitana;INDEPENDENCIA;Severino Cazorzo;1341
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;Región Metropolitana;BUIN;Errázuriz;347
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;Región Metropolitana;SAN BERNARDO;Colón;584
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;V Región de Valparaíso;QUILLOTA;Molinares;45
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;V Región de Valparaíso;SAN FELIPE;Merced;113
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;V Región de Valparaíso;LOS ANDES;Rodríguez;688
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;V Región de Valparaíso;LIMACHE;Ramón Cerda;208
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;V Región de Valparaíso;LA CALERA;J. Pérez;370
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;VI Región de O'Higgins;MACHALÍ;Av. San Juan;1255
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;VI Región de O'Higgins;SAN FERNANDO;Rancagua;468
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;VII Región del Maule;TALCA;6 Oriente;713
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;VIII Región del Biobío;FLORIDA;Ortiz de Rozas;480
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;VIII Región del Biobío;TALCAHUANO;Valdivia;370
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;VIII Región del Biobío;YUMBEL;Urizar;680
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;IX Región de la Araucanía;VILCÚN;Linquen;87
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;IX Región de la Araucanía;ANGOL;Arturo Prat;99
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;IX Región de la Araucanía;LAUTARO;Bernardo O'Higgins;431
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;XII Región de Magallanes;PUNTA ARENAS;Mejicana;476
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;I Región de Tarapacá;IQUIQUE;Serrano;712
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;II Región de Antofagasta;CALAMA;Vicuña Mackena;1956
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;II Región de Antofagasta;ANTOFAGASTA;Maipú;759
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;III Región de Atacama;COPIAPO;Chañarcillo;399
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;IV Región de Coquimbo;COQUIMBO;Aldunate;1725
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;IV Región de Coquimbo;SALAMANCA;Pasaje Los Pimientos;148
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;IV Región de Coquimbo;LA HIGUERA;Punta Colorada;S/N
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;IV Región de Coquimbo;OVALLE;Libertad;721
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Región Metropolitana;SANTIAGO;Alameda;1460
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Región Metropolitana;LA CISTERNA;Santa Teresa;37
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Región Metropolitana;LA FLORIDA;Millalongo;22
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Región Metropolitana;LA PINTANA;Patagonia;12537
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Región Metropolitana;LO BARNECHEA;El Esfuerzo;14045
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Región Metropolitana;PEDRO AGUIRRE CERDA;Pasaje Anacreonte;4445
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Región Metropolitana;PROVIDENCIA;Román Díaz;1014
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Región Metropolitana;SAN JOAQUÍN;Martín Henríquez;4192
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Región Metropolitana;SAN RAMÓN;Argentina;2085
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Región Metropolitana;VITACURA;Missouri;7596
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Región Metropolitana;ÑUÑOA;Dublé Almeyda;2462
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Región Metropolitana;PEÑALOLÉN;Av. Grecia;7392
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Región Metropolitana;LAS CONDES;Toconao;1028
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Región Metropolitana;MACUL;Macul;3804
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Región Metropolitana;LAMPA;Argentina;S/N
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Región Metropolitana;TIL TIL;Juana Rosa Bustos;8
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Región Metropolitana;HUECHURUBA;Recoleta;5899
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Región Metropolitana;INDEPENDENCIA;Severino Cazorzo;1341
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Región Metropolitana;BUIN;Errázuriz;347
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Región Metropolitana;SAN BERNARDO;Colón;584
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;V Región de Valparaíso;QUILLOTA;Molinares;45
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;V Región de Valparaíso;SAN FELIPE;Merced;113
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;V Región de Valparaíso;LOS ANDES;Rodríguez;688
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;V Región de Valparaíso;LIMACHE;Ramón Cerda;208
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;V Región de Valparaíso;LA CALERA;J. Pérez;370
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;VI Región de O'Higgins;MACHALÍ;Av. San Juan;1255
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;VI Región de O'Higgins;SAN FERNANDO;Rancagua;468
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;VII Región del Maule;TALCA;6 Oriente;713
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;VIII Región del Biobío;FLORIDA;Ortiz de Rozas;480
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;VIII Región del Biobío;TALCAHUANO;Valdivia;370
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;VIII Región del Biobío;YUMBEL;Urizar;680
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;IX Región de la Araucanía;VILCÚN;Linquen;87
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;IX Región de la Araucanía;ANGOL;Arturo Prat;99
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;IX Región de la Araucanía;LAUTARO;Bernardo O'Higgins;431
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;X Región de Los Lagos;NO CUENTA CON SEDE;NO CUENTA CON SEDE;Sin información
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;XIV Región de Los Rios;Valdivia;Cochrane;239
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;XIV Región de Los Rios;Esmeralda;Esmeralda;956
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;XI Región de Aysen;NO CUENTA CON SEDE;NO CUENTA CON SEDE;Sin información
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;XII Región de Magallanes;PUNTA ARENAS;Mejicana;476
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;Región de Arica y Parinacota;ARICA;Arica;1058
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;I Región de Tarapacá;IQUIQUE;Serrano;712
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;II Región de Antofagasta;CALAMA;Vicuña Mackena;1956
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;II Región de Antofagasta;ANTOFAGASTA;Maipú;759
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;III Región de Atacama;COPIAPO;Chañarcillo;399
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;III Región de Atacama;FREIRINA;Rio de Janeiro;S/N
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;IV Región de Coquimbo;LA SERENA;Colon;256
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;IV Región de Coquimbo;COQUIMBO;Aldunate;1625
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;IV Región de Coquimbo;COMBARBALA;Comercio;499
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;V Región de Valparaíso;VALPARAÍSO;Calle Rodríguez;761
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;V Región de Valparaíso;LOS ANDES;Calle Rodríguez;688
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;Región Metropolitana de Santiago;SANTIAGO;Alameda;1460
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;Región Metropolitana de Santiago;LA FLORIDA;Millalongo;22
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;Región Metropolitana de Santiago;PROVIDENCIA;Román Díaz;1014
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;Región Metropolitana de Santiago;ÑUÑOA;Dublé Almeyda;2462
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;Región Metropolitana de Santiago;PEÑALOLÉN;Av. Grecia;7392
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;Región Metropolitana de Santiago;MACUL;Macul;3804
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;VI Región de O'Higgins;RANCAGUA;Cáceres;724
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;VII Región del Maule;TALCA;Calle 3 poniente;1169
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;VII Región del Maule;LINARES;Chacabuco;925
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;VIII Región del Biobío;CONCEPCIÓN;Tucapel con Aníbal Pinto;S/N
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;VIII Región del Biobío;TALCAHUANO;Valdivia;370
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;VIII Región del Biobío;HUALQUI;Freire;315
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;VIII Región del Biobío;LOS ANGELES;Lynch;438
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;IX Región de la Araucanía;NUEVA IMPERIAL;Juan Antonio Concha / Urrutia;607
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;IX Región de la Araucanía;COLLIPULLI;O´Carroll;1152
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;IX Región de la Araucanía;LOS SAUCES;Balmaceda esquina Aníbal Pinto;S/N
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;XIV Región de Los Rios;VALDIVIA;Lord Cochrane;239
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;XIV Región de Los Rios;LA UNIÓN;Esmeralda;956
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;X Región de Los Lagos;PUERTO MONTT;Serrano;389
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;XI Región de Aysen;NO CUENTA CON SEDE;NO CUENTA CON SEDE;Sin información
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;XII Región de Magallanes;PUNTA ARENAS;Mejicana;476
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;XII Región de Magallanes;PUERTO NATALES;Arturo Prat;132
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;Región de Arica y Parinacota;ARICA;Arica;1058
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;I Región de Tarapacá;IQUIQUE;Serrano;712
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;II Región de Antofagasta;CALAMA;Vicuña Mackena;1956
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;II Región de Antofagasta;ANTOFAGASTA;Maipú;759
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;III Región de Atacama;COPIAPO;Chañarcillo;399
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;III Región de Atacama;FREIRINA;Rio de Janeiro;S/N
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;IV Región de Coquimbo;LA SERENA;Colon;256
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;IV Región de Coquimbo;COQUIMBO;Aldunate;1625
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;IV Región de Coquimbo;COMBARBALA;Comercio;499
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;V Región de Valparaíso;VALPARAÍSO;Calle Rodríguez;761
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;V Región de Valparaíso;LOS ANDES;Calle Rodríguez;688
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;Región Metropolitana de Santiago;SANTIAGO;Alameda;1460
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;Región Metropolitana de Santiago;LA FLORIDA;Millalongo;22
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;Región Metropolitana de Santiago;PROVIDENCIA;Román Díaz;1014
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;Región Metropolitana de Santiago;ÑUÑOA;Dublé Almeyda;2462
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;Región Metropolitana de Santiago;PEÑALOLÉN;Av. Grecia;7392
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;Región Metropolitana de Santiago;MACUL;Macul;3804
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;VI Región de O'Higgins;RANCAGUA;Cáceres;724
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;VII Región del Maule;TALCA;Calle 3 poniente;1169
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;VII Región del Maule;LINARES;Chacabuco;925
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;VIII Región del Biobío;CONCEPCIÓN;Tucapel con Aníbal Pinto;S/N
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;VIII Región del Biobío;TALCAHUANO;Valdivia;370
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;VIII Región del Biobío;HUALQUI;Freire;315
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;VIII Región del Biobío;LOS ANGELES;Lynch;438
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;IX Región de la Araucanía;NUEVA IMPERIAL;Juan Antonio Concha / Urrutia;607
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;IX Región de la Araucanía;COLLIPULLI;O´Carroll;1152
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;IX Región de la Araucanía;LOS SAUCES;Balmaceda esquina Aníbal Pinto;S/N
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;XIV Región de Los Rios;VALDIVIA;Lord Cochrane;239
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;XIV Región de Los Rios;LA UNIÓN;Esmeralda;956
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;X Región de Los Lagos;PUERTO MONTT;Serrano;389
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;XI Región de Aysen;NO CUENTA CON SEDE;NO CUENTA CON SEDE;Sin información
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;XII Región de Magallanes;PUNTA ARENAS;Mejicana;476
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;XII Región de Magallanes;PUERTO NATALES;Arturo Prat;132
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;Región de Arica y Parinacota;ARICA;Arica;1058
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;I Región de Tarapacá;IQUIQUE;Serrano;712
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;II Región de Antofagasta;CALAMA;Vicuña Mackena;1956
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;II Región de Antofagasta;ANTOFAGASTA;Maipú;759
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;III Región de Atacama;COPIAPO;Chañarcillo;399
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;III Región de Atacama;FREIRINA;Rio de Janeiro;S/N
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;IV Región de Coquimbo;LA SERENA;Colon;256
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;IV Región de Coquimbo;COQUIMBO;Aldunate;1625
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;IV Región de Coquimbo;COMBARBALA;Comercio;499
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;V Región de Valparaíso;VALPARAÍSO;Calle Rodríguez;761
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;V Región de Valparaíso;LOS ANDES;Calle Rodríguez;688
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;Región Metropolitana de Santiago;SANTIAGO;Alameda;1460
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;Región Metropolitana de Santiago;LA FLORIDA;Millalongo;22
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;Región Metropolitana de Santiago;PROVIDENCIA;Román Díaz;1014
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;Región Metropolitana de Santiago;ÑUÑOA;Dublé Almeyda;2462
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;Región Metropolitana de Santiago;PEÑALOLÉN;Av. Grecia;7392
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;Región Metropolitana de Santiago;MACUL;Macul;3804
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;VI Región de O'Higgins;RANCAGUA;Cáceres;724
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;VII Región del Maule;TALCA;Calle 3 poniente;1169
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;VII Región del Maule;LINARES;Chacabuco;925
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;VIII Región del Biobío;CONCEPCIÓN;Tucapel con Aníbal Pinto;S/N
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;VIII Región del Biobío;TALCAHUANO;Valdivia;370
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;VIII Región del Biobío;HUALQUI;Freire;315
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;VIII Región del Biobío;LOS ANGELES;Lynch;438
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;IX Región de la Araucanía;NUEVA IMPERIAL;Juan Antonio Concha / Urrutia;607
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;IX Región de la Araucanía;COLLIPULLI;O´Carroll;1152
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;IX Región de la Araucanía;LOS SAUCES;Balmaceda esquina Aníbal Pinto;S/N
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;XIV Región de Los Rios;VALDIVIA;Lord Cochrane;239
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;XIV Región de Los Rios;LA UNIÓN;Esmeralda;956
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;X Región de Los Lagos;PUERTO MONTT;Serrano;389
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;XI Región de Aysen;NO CUENTA CON SEDE;NO CUENTA CON SEDE;Sin información
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;XII Región de Magallanes;PUNTA ARENAS;Mejicana;476
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;XII Región de Magallanes;PUERTO NATALES;Arturo Prat;132
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;Región de Arica y Parinacota;ARICA;Arica;1058
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;I Región de Tarapacá;IQUIQUE;Serrano;712
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;II Región de Antofagasta;CALAMA;Vicuña Mackena;1956
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;II Región de Antofagasta;ANTOFAGASTA;Maipú;759
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;III Región de Atacama;COPIAPO;Chañarcillo;399
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;III Región de Atacama;FREIRINA;Rio de Janeiro;S/N
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;IV Región de Coquimbo;LA SERENA;Colon;256
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;IV Región de Coquimbo;COQUIMBO;Aldunate;1625
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;IV Región de Coquimbo;COMBARBALA;Comercio;499
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;V Región de Valparaíso;VALPARAÍSO;Calle Rodríguez;761
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;V Región de Valparaíso;LOS ANDES;Calle Rodríguez;688
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;Región Metropolitana de Santiago;SANTIAGO;Alameda;1460
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;Región Metropolitana de Santiago;LA FLORIDA;Millalongo;22
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;Región Metropolitana de Santiago;PROVIDENCIA;Román Díaz;1014
