Camino;Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Tipo de Campaña;Item;Unidad Monetaria;Monto;Estado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Cores;APORTE A CANDIDATO;Pesos;4100000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Cores;APORTE A CANDIDATO;Pesos;4100000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Cores;APORTE A CANDIDATO;Pesos;4100000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Cores;APORTE A CANDIDATO;Pesos;4100000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Cores;APORTE A CANDIDATO;Pesos;4100000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Cores;APORTE A CANDIDATO;Pesos;4100000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Cores;APORTE A CANDIDATO;Pesos;4100000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Cores;APORTE A CANDIDATO;Pesos;4100000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Cores;APORTE A CANDIDATO;Pesos;4100000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Cores;APORTE A CANDIDATO;Pesos;4100000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Cores;APORTE A CANDIDATO;Pesos;4100000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Cores;APORTE A CANDIDATO;Pesos;4100000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Cores;APORTE A CANDIDATO;Pesos;5600000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Cores;CIERRE DE CAMPAÑA;Pesos;1100000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Cores;CIERRE DE CAMPAÑA;Pesos;1100000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Cores;CIERRE DE CAMPAÑA;Pesos;330585;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Cores;CIERRE DE CAMPAÑA;Pesos;550000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Cores;CIERRE DE CAMPAÑA;Pesos;550000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Cores;CIERRE DE CAMPAÑA;Pesos;550000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Cores;CIERRE DE CAMPAÑA;Pesos;550000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Cores;GASTOS MENORES;Pesos;3999;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Diputados;10000 VOLANTES;Pesos;238000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Diputados;1000 MINI CALENDARIOS;Pesos;70008;Aprobado
