Camino;C骴igo del organismo;Nombre del organismo;A駉 Informado;Trimestre Informado;Item de Gastos;Unidad Monetaria;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2017;Jul - Sep;Gastos de adquisici髇 de bienes y servicios o gastos corrientes;Pesos;0;0;0;0;0;0;21437398;40260872;40456359;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2017;Jul - Sep;Gastos de las actividades de formaci髇 de militantes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2017;Jul - Sep;Gastos de las actividades de formaci髇 de militantes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2017;Jul - Sep;Gastos de las actividades de preparaci髇 de candidatos a cargos de elecci髇 popular;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2017;Jul - Sep;Gastos de Personal;Pesos;0;0;0;0;0;0;44492799;38440319;39393821;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2017;Jul - Sep;Gastos financieros por pr閟tamos de corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2017;Jul - Sep;Gastos financieros por pr閟tamos de corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2017;Jul - Sep;Gastos financieros por pr閟tamos de largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2017;Jul - Sep;Gastos financieros por pr閟tamos de largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2017;Jul - Sep;Otros gastos de administraci髇;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Cr閐itos de corto plazo, inversiones y valores de operaciones de capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Cr閐itos de largo plazo, inversiones y valores de operaciones de capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Gastos de actividades de educaci髇 c韛ica;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Gastos de actividades de fomento a la participaci髇 de los j髒enes;Pesos;0;0;0;0;0;0;0;0;0;1500000;1803685;1346083
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Gastos de actividades de fomento a la participaci髇 femenina;Pesos;0;0;0;0;0;0;0;0;0;10000000;0;32410856
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Gastos de actividades de investigaci髇;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Gastos de adquisici髇 de bienes y servicios o gastos corrientes;Pesos;0;0;0;0;0;0;0;0;0;98881824;18669440;68083182
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Gastos de las actividades de formaci髇 de militantes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Gastos de las actividades de preparaci髇 de candidatos a cargos de elecci髇 popular;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Gastos de Personal;Pesos;0;0;0;0;0;0;0;0;0;28907752;26419488;36932995
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Gastos financieros por pr閟tamos de corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Gastos financieros por pr閟tamos de corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Gastos financieros por pr閟tamos de largo plazo;Pesos;0;0;0;0;0;0;0;0;0;146379;146379;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Gastos financieros por pr閟tamos de largo plazo;Pesos;0;0;0;0;0;0;0;0;0;2332048;5477620;1578406
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Otros gastos de administraci髇;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Actividades de Educaci髇 C韛ica;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Actividades de Educaci髇 C韛ica;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Actividades de Fomento a Participaci髇 Femenina;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Actividades de Fomento a Participaci髇 Femenina;Pesos;0;0;0;0;0;13012333;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Actividades de Fomento a Participaci髇 Juvenil;Pesos;0;0;0;0;0;4585000;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Actividades de Fomento a Participaci髇 Juvenil;Pesos;0;4135000;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Actividades de Investigaci髇;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Actividades de Investigaci髇;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Adquisici髇 de Bienes o Servicios y Gastos corrientes;Pesos;0;0;0;2751523;3516313;3045946;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Adquisici髇 de Bienes o Servicios y Gastos corrientes;Pesos;43039912;8760609;9647225;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Cr閐itos corto plazo;Pesos;0;0;0;6317967;1593317;6347838;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Cr閐itos corto plazo;Pesos;2511267;2559970;2599768;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Cr閐itos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Cr閐itos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Gastos de Personal;Pesos;0;0;0;35733376;34011468;28664887;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Gastos de Personal;Pesos;33098292;27715696;30489626;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Gastos por Prestamos corto plazo;Pesos;0;0;0;145082;145315;145747;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Gastos por Prestamos corto plazo;Pesos;1673611;1623247;1585334;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Gastos por Prestamos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Gastos por Prestamos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Inversiones;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Inversiones;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Otros gastos de administraci髇;Pesos;0;0;0;24752138;21950641;46196570;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Otros gastos de administraci髇;Pesos;29096592;13273095;8743507;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Preparaci髇 de candidatos (elecci髇 popular);Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Preparaci髇 de candidatos (elecci髇 popular);Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Preparacion de militantes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Preparacion de militantes;Pesos;0;0;0;0;0;416500;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Valores de Operaci髇 de Capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Valores de Operaci髇 de Capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2018/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Ene - Mar;Actividades de Educaci髇 C韛ica;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2018/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Ene - Mar;Actividades de Fomento a Participaci髇 Femenina;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2018/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Ene - Mar;Actividades de Fomento a Participaci髇 Juvenil;Pesos;1000000;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2018/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Ene - Mar;Actividades de Investigaci髇;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2018/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Ene - Mar;Adquisici髇 de Bienes o Servicios y Gastos corrientes;Pesos;1237477;22283802;20661181;0;0;0;0;0;0;0;0;0
