"codigoViaje","destino","pasivo","codigoPasivo","organismo","IdOrPortal","cargo","fechaInicio","fechaTermino","descripcion","costo","financistas"
"au0021400462","Quintero, Región de Valparaíso","Maximo Jorge Pacheco Matte","AU002421","SUBSECRETARIA DE ENERGÍA","au002","Ministro(a)",2015-03-24,2015-03-24,"Ceremonia de inauguración GNL Quintero - ",40827,"   Subsecretaría de Energía - "
"au0021400492","Valparaíso, Región de Valparaíso","Maximo Jorge Pacheco Matte","AU002421","SUBSECRETARIA DE ENERGÍA","au002","Ministro(a)",2015-03-18,2015-03-18,"Comisión de Minería y Energía del Senado - ",40827,"   Subsecretaría de Energía - "
"au0021400522","Rancagua, Región del Libertador Bernardo O¨Higgins","Maximo Jorge Pacheco Matte","AU002421","SUBSECRETARIA DE ENERGÍA","au002","Ministro(a)",2015-03-31,2015-03-31,"Ceremonia de expansión del Gas Natural a los hogares de las comunas de Rancagua y Machalí - ",0,"   Subsecretaría de Energía - "
"mu114994952","Continente","Pedro Tepano Pakarati","MU11414007","MUNICIPALIDAD DE ISLA DE PASCUA","mu114","Concejal(a)",2015-03-10,2015-03-16,"Exposicion del canotaje Polinesico - ",880159,"   Municipalidad de Isla de Pascua - "
"mu1221190802","San Juan, Argentina","Yerko Hernaldo Galleguillos Ossandón","MU12216534","MUNICIPALIDAD DE LA HIGUERA","mu122","Alcalde(sa)",2015-01-19,2015-01-24,"GIRA TÉCNICA SEGEGOB FONDO DE FORTALECIMIENTO DE LAS ORGANIZACIONES DE INTERÉS PÚBLICO - ",0,"   Municipalidad de La Higuera - "
"mu1221191482","Antofagasta, Chile","Yerko Hernaldo Galleguillos Ossandón","MU12216534","MUNICIPALIDAD DE LA HIGUERA","mu122","Alcalde(sa)",2015-01-26,2015-01-28,"SEMINARIO CRISIS HÍDRICA, HERRAMIENTAS DE GESTIÓN Y ALTERNATIVAS DE ACCIÓN DESDE LOS MUNICIPIOS - ",0,"   Municipalidad de La Higuera - "
"mu1221191502","Iquique, Chile","Yerko Hernaldo Galleguillos Ossandón","MU12216534","MUNICIPALIDAD DE LA HIGUERA","mu122","Alcalde(sa)",2015-02-16,2015-02-18,"CONTROL PRESUPUESTARIO, CLAVES PARA SU CONCRETA GESTIÓN Y FISCALIZACIÓN - ",0,"   Municipalidad de La Higuera - "
"mu1221191522","Santiago, Chile","Yerko Hernaldo Galleguillos Ossandón","MU12216534","MUNICIPALIDAD DE LA HIGUERA","mu122","Alcalde(sa)",2015-03-17,2015-03-19,"LOBBY EN LA GESTIÓN MUNICIPAL ¿CÓMO IMPLEMENTAR LA LEY N°20.730? - ",0,"   Municipalidad de La Higuera - "
"mu1271211512","Viña del MAr","Daniel Rubén Noriega Jara","MU12712807","MUNICIPALIDAD DE LA UNIÓN","mu127","Concejal Daniel Noriega Jara",2015-03-15,2015-03-18,"VII Congreso Nacional de Concejales - ",551336,"   Ilustre Municipalidad de La Unión - "
"mu137979592","CONCEPCIÓN","Gustavo Andrés Aranda Sotomayor","MU13727109","MUNICIPALIDAD DE LEBU","mu137","Jefe de Servicios Municipales",2015-01-27,2015-01-27,"REUNIÓN CON DEPTO. JURÍDICO SERVIU REGIÓN DEL BIO BIO - ",20231,"   MUNICIPALIDAD DE LEBU - "
"mu137979652","CONCEPCIÓN","Gustavo Andrés Aranda Sotomayor","MU13727109","MUNICIPALIDAD DE LEBU","mu137","Jefe de Servicios Municipales",2015-02-26,2015-02-26,"REVISIÓN PROYECTOS SUBDERE - ",20230,"   MUNICIPALIDAD DE LEBU - "
"mu137979672","ISLA MOCHA","Gustavo Andrés Aranda Sotomayor","MU13727109","MUNICIPALIDAD DE LEBU","mu137","Jefe de Servicios Municipales",2015-03-25,2015-03-25,"VISITA TERRENO ISLA MOCHA - ",20231,"   MUNICIPALIDAD DE LEBU - "
